NoteNumber,EmployeeNumber,LocationType,LocationCode,GrossPay,Deductions,NetPay,ActualGrossPay,,Servicetype,EmployeeType,ServiceStatus,CentreCode,TotalPaidDays,,,,,,,,
200001-EPC-20070201-00013,57979,2,19,0,0,0,0,,3,1,4,19,0,,,,,,,,
200001-EPC-20070201-00013,57980,2,19,0,0,0,0,,3,1,4,19,0,,,,,,,,
200001-EPC-20070201-00013,57982,2,19,890,83,807,890,,3,1,4,19,9.05,,,,,,,,
200001-EPC-20070201-00013,67671,2,19,817,76,741,817,,3,1,4,19,8.31,,,,,,,,
200001-EPC-20070201-00013,67734,2,19,0,0,0,0,,3,1,4,19,0,,,,,,,,
200001-EPC-20070201-00013,70151,2,19,0,0,0,0,,3,1,2,19,0,,,,,,,,
200001-EPC-20070201-00013,72347,2,19,0,0,0,0,,3,1,4,19,0,,,,,,,,
200001-EPC-20070201-00013,72797,2,19,1173,109,1064,1173,,3,1,4,19,11.82,,,,,,,,
200001-EPC-20070201-00013,73412,2,19,0,0,0,0,,3,1,4,19,0,,,,,,,,
200001-EPC-20070201-00013,73413,2,19,0,0,0,0,,3,1,4,19,0,,,,,,,,
200001-EPC-20070201-00013,73420,2,19,0,0,0,0,,3,1,4,19,0,,,,,,,,
200001-EPC-20070201-00013,73421,2,19,0,0,0,0,,3,1,4,19,0,,,,,,,,
200001-EPC-20070201-00013,73481,2,19,0,0,0,0,,3,1,4,19,0,,,,,,,,
200001-EPC-20070201-00013,73662,2,19,3266,0,3266,3266,,3,1,2,19,31,,,,,,,,
200001-EPC-20070201-00013,73673,2,19,3223,0,3223,3223,,3,1,2,19,31,,,,,,,,
200001-EPC-20070201-00013,74429,2,19,0,0,0,0,,3,1,2,19,0,,,,,,,,
200001-EPC-20070201-00013,74539,2,19,4044,0,4044,4044,,3,1,2,19,31,,,,,,,,
200001-EPC-20070201-00013,74950,2,19,0,0,0,0,,3,1,2,19,0,,,,,,,,
200001-EPC-20070201-00013,75685,2,19,2614,0,2614,2614,,3,1,2,19,26.4,,,,,,,,
